question_by_qid,q_str,q_str_open_ended,x_name,x_value,y_name,y_value,answer,comparison,max_comparisons,prop_id,suffix,uuid,topic
a4e93904f315de1dafb1e60097cc6b99fe856c8efe4d602317bd331bc47a988c,Does mercury have a higher boiling point than water?,Which of these substances has a higher boiling point: mercury or water?,mercury,357.0,water,100.0,YES,gt,1,boiling-points,,a2570446,boiling points
b6d32f6f0c30212ac7979cd3b9c191f8aa57aae0cef9639430e7aea209c834c3,Does water have a higher boiling point than ethanol?,Which of these substances has a higher boiling point: water or ethanol?,water,100.0,ethanol,78.0,YES,gt,1,boiling-points,,a2570446,boiling points
bb3eed96094e0d576e13f571c81d227711b00787152d85753fbbd3e88b52927d,Does acetone have a higher boiling point than carbon dioxide?,Which of these substances has a higher boiling point: acetone or carbon dioxide?,acetone,56.0,carbon dioxide,-78.0,YES,gt,1,boiling-points,,a2570446,boiling points
eb01464d7e442561d7358c50c1ac4408992f993414e9db7c6a4320cafd3101f9,Does copper have a higher boiling point than aluminum?,Which of these substances has a higher boiling point: copper or aluminum?,copper,2562.0,aluminum,2470.0,YES,gt,1,boiling-points,,a2570446,boiling points
1be0b14f27aaebdf1b104da4c9618a8494f227b131339ced96bb95a324b9fe70,"about US cities:

Is Boston, MA located north of Dallas, TX?","Which place is located more to the north: Boston, MA or Dallas, TX?","Boston, MA",42.3188,"Dallas, TX",32.7935,YES,gt,1,wm-us-city-lat,non-ambiguous-obscure-or-close-call,f6cd6ec4,wm us city lat
2baa01f19be3663a0060847bffc10c386a3a1154f1be3bedb60528cb782d1501,"about US cities:

Is San Francisco, CA located north of Beverly Hills, CA?","Which place is located more to the north: San Francisco, CA or Beverly Hills, CA?","San Francisco, CA",37.7558,"Beverly Hills, CA",34.0786,YES,gt,1,wm-us-city-lat,non-ambiguous-obscure-or-close-call,f6cd6ec4,wm us city lat
300a7bcfd26703907a83c615b7bf25e320e75f500632151302facb2b2a4c58fa,"about US cities:

Is New York, NY located north of Orlando, FL?","Which place is located more to the north: New York, NY or Orlando, FL?","New York, NY",40.6943,"Orlando, FL",28.4773,YES,gt,1,wm-us-city-lat,non-ambiguous-obscure-or-close-call,f6cd6ec4,wm us city lat
348977e5a3208c66fb0b73b252a9f7d4dd5c0908a0f5e3ce7b8dc201c28632aa,"about US cities:

Is Denver, CO located north of Yosemite Valley, CA?","Which place is located more to the north: Denver, CO or Yosemite Valley, CA?","Denver, CO",39.762,"Yosemite Valley, CA",37.7407,YES,gt,1,wm-us-city-lat,non-ambiguous-obscure-or-close-call,f6cd6ec4,wm us city lat
4c403d2a5f67f375e9b815bd7021a9583e3eb56fa4b3aa2075a0d1a8ead7d856,"about US cities:

Is Manhattan, NY located north of Compton, CA?","Which place is located more to the north: Manhattan, NY or Compton, CA?","Manhattan, NY",40.7834,"Compton, CA",33.893,YES,gt,1,wm-us-city-lat,non-ambiguous-obscure-or-close-call,f6cd6ec4,wm us city lat
5f7cb171dd95e0d6e31cb685be8e9ed8d6f519a8ef35bd2d2b88659000768166,"about US cities:

Is Philadelphia, PA located north of Atlanta, GA?","Which place is located more to the north: Philadelphia, PA or Atlanta, GA?","Philadelphia, PA",40.0077,"Atlanta, GA",33.7628,YES,gt,1,wm-us-city-lat,non-ambiguous-obscure-or-close-call,f6cd6ec4,wm us city lat
6a2b21564d6f8e41f430776f7e599ad1cdfaec42ae3fa5d56cee37d26092379d,"about US cities:

Is Austin, TX located north of San Antonio, TX?","Which place is located more to the north: Austin, TX or San Antonio, TX?","Austin, TX",30.3005,"San Antonio, TX",29.4632,YES,gt,1,wm-us-city-lat,non-ambiguous-obscure-or-close-call,f6cd6ec4,wm us city lat
9f22b46c7586302fab561d0887bd09b4b272440545044c42d93ebe2e3fd84142,"about US cities:

Is Las Vegas, NV located north of Nashville, TN?","Which place is located more to the north: Las Vegas, NV or Nashville, TN?","Las Vegas, NV",36.2333,"Nashville, TN",36.1715,YES,gt,1,wm-us-city-lat,non-ambiguous-obscure-or-close-call,f6cd6ec4,wm us city lat
a52b5684492482ef5a8bc2472116dad1712bac00781bb561070751d5b38a6b5b,"about US cities:

Is Brooklyn, NY located north of Los Angeles, CA?","Which place is located more to the north: Brooklyn, NY or Los Angeles, CA?","Brooklyn, NY",40.6501,"Los Angeles, CA",34.1141,YES,gt,1,wm-us-city-lat,non-ambiguous-obscure-or-close-call,f6cd6ec4,wm us city lat
ba61a128f1f7209153c0735737e1b0df3d611394bd66b581c6852c2fe8cf7704,"about US cities:

Is Bronx, NY located north of Phoenix, AZ?","Which place is located more to the north: Bronx, NY or Phoenix, AZ?","Bronx, NY",40.8501,"Phoenix, AZ",33.5722,YES,gt,1,wm-us-city-lat,non-ambiguous-obscure-or-close-call,f6cd6ec4,wm us city lat
c41fba8bf09d465865991de2db4465565c8b3057999f251db0ebc2b34dda77dc,"about US cities:

Is New Orleans, LA located north of Houston, TX?","Which place is located more to the north: New Orleans, LA or Houston, TX?","New Orleans, LA",30.0687,"Houston, TX",29.786,YES,gt,1,wm-us-city-lat,non-ambiguous-obscure-or-close-call,f6cd6ec4,wm us city lat
d70fd78b6ef00f8d1b1adf1064a12f884239ae71c9d4322e58eb54fcf20b5a71,"about US cities:

Is Seattle, WA located north of San Diego, CA?","Which place is located more to the north: Seattle, WA or San Diego, CA?","Seattle, WA",47.6211,"San Diego, CA",32.8313,YES,gt,1,wm-us-city-lat,non-ambiguous-obscure-or-close-call,f6cd6ec4,wm us city lat
dc824ade8e1aeda5b2b02cca004758c14ffd0fd1ffc8c4a3e69da9ed2477b34d,"about US cities:

Is Washington, DC located north of Miami, FL?","Which place is located more to the north: Washington, DC or Miami, FL?","Washington, DC",38.9047,"Miami, FL",25.784,YES,gt,1,wm-us-city-lat,non-ambiguous-obscure-or-close-call,f6cd6ec4,wm us city lat
e494ad559e04bf69cfd8921e88628c300c73ce02239dc3646f9ca6d4dc569d2e,"about US cities:

Is Detroit, MI located north of Santa Monica, CA?","Which place is located more to the north: Detroit, MI or Santa Monica, CA?","Detroit, MI",42.3834,"Santa Monica, CA",34.0235,YES,gt,1,wm-us-city-lat,non-ambiguous-obscure-or-close-call,f6cd6ec4,wm us city lat
ede8ad9f6fa1443cd2993457d84f33b3c1994b535f9b7f371323af29f99721fc,"about US cities:

Is Malibu, CA located north of Miami Beach, FL?","Which place is located more to the north: Malibu, CA or Miami Beach, FL?","Malibu, CA",34.037,"Miami Beach, FL",25.8171,YES,gt,1,wm-us-city-lat,non-ambiguous-obscure-or-close-call,f6cd6ec4,wm us city lat
f36d4374f102969433911d0cbe4bf8c435a552e996cf47ab6bd561e3c249fd58,"about US cities:

Is Portland, OR located north of Chicago, IL?","Which place is located more to the north: Portland, OR or Chicago, IL?","Portland, OR",45.5371,"Chicago, IL",41.8375,YES,gt,1,wm-us-city-lat,non-ambiguous-obscure-or-close-call,f6cd6ec4,wm us city lat
09f8866a1d635e756befa356a065e0678c8a6bd7d6bf17f7b76fa3872e349986,"about US structures:

Is Durfee Hall, CT located east of Genetti Hotel, PA?","Which place is located more to the east: Durfee Hall, CT or Genetti Hotel, PA?","Durfee Hall, CT",-72.9281,"Genetti Hotel, PA",-77.0056,YES,gt,1,wm-us-structure-long,non-ambiguous-hard-3,77295348,wm us structure long
168c9709cd386dad104428774fdd334657d24358bf95248439b519753b106ed3,"about US structures:

Is Sparks Shot Tower, PA located east of Cathedral of Saint Mary of the Immaculate Conception (Peoria, Illinois), IL?","Which place is located more to the east: Sparks Shot Tower, PA or Cathedral of Saint Mary of the Immaculate Conception (Peoria, Illinois), IL?","Sparks Shot Tower, PA",-75.1463,"Cathedral of Saint Mary of the Immaculate Conception (Peoria, Illinois), IL",-89.585,YES,gt,1,wm-us-structure-long,non-ambiguous-hard-3,77295348,wm us structure long
1add3bf33bf16722dba540fa6cf25165f078d8353a2904af946e37d1f14a399e,"about US structures:

Is Basic Creek Reservoir, NY located east of Chicago Avenue Pumping Station, IL?","Which place is located more to the east: Basic Creek Reservoir, NY or Chicago Avenue Pumping Station, IL?","Basic Creek Reservoir, NY",-74.0147,"Chicago Avenue Pumping Station, IL",-87.6239,YES,gt,1,wm-us-structure-long,non-ambiguous-hard-3,77295348,wm us structure long
1d0e354ad9274f902e26e81467f1c889da7c9e257b970465de3f2201442ed4ea,"about US structures:

Is Central Christian Church (Henderson, Nevada), NV located east of Santa Margarita Lake, CA?","Which place is located more to the east: Central Christian Church (Henderson, Nevada), NV or Santa Margarita Lake, CA?","Central Christian Church (Henderson, Nevada), NV",-115.038,"Santa Margarita Lake, CA",-120.471,YES,gt,1,wm-us-structure-long,non-ambiguous-hard-3,77295348,wm us structure long
23d844043e5604342055c8931b48dea93239c28cecd075058cd8ead51e73eced,"about US structures:

Is Bridge Canyon Dam, AZ located east of Topaz Solar Farm, CA?","Which place is located more to the east: Bridge Canyon Dam, AZ or Topaz Solar Farm, CA?","Bridge Canyon Dam, AZ",-113.567,"Topaz Solar Farm, CA",-120.067,YES,gt,1,wm-us-structure-long,non-ambiguous-hard-3,77295348,wm us structure long
2426b840d36ac92878ec6fef75d4c754903f0a6abb1068e5140067e4ec412c8b,"about US structures:

Is Cathedral of Our Lady of Lourdes (Spokane, Washington), WA located east of Lake Padden, WA?","Which place is located more to the east: Cathedral of Our Lady of Lourdes (Spokane, Washington), WA or Lake Padden, WA?","Cathedral of Our Lady of Lourdes (Spokane, Washington), WA",-117.428,"Lake Padden, WA",-122.463,YES,gt,1,wm-us-structure-long,non-ambiguous-hard-3,77295348,wm us structure long
277acf64b46909d226b8956168f7ffa43775d03da57139c563c68620d7e8c1e1,"about US structures:

Is Tenth Presbyterian Church, PA located east of The Emerson Theater, IN?","Which place is located more to the east: Tenth Presbyterian Church, PA or The Emerson Theater, IN?","Tenth Presbyterian Church, PA",-75.1699,"The Emerson Theater, IN",-86.0909,YES,gt,1,wm-us-structure-long,non-ambiguous-hard-3,77295348,wm us structure long
2b8627789df5ef89e6b43acfd3b00aeaa64b8fa6e0bedb630cee5105ff573f9b,"about US structures:

Is Episcopal Cathedral of Saint Philip (Atlanta), GA located east of Dal-Tex Building, TX?","Which place is located more to the east: Episcopal Cathedral of Saint Philip (Atlanta), GA or Dal-Tex Building, TX?","Episcopal Cathedral of Saint Philip (Atlanta), GA",-84.3872,"Dal-Tex Building, TX",-96.8083,YES,gt,1,wm-us-structure-long,non-ambiguous-hard-3,77295348,wm us structure long
2cee46d0a409c5c4bdb3c4666c143969fbf770471f351b9a7aaa20e7cdbd29be,"about US structures:

Is Ice Harbor Dam, WA located east of Trojan Nuclear Power Plant, OR?","Which place is located more to the east: Ice Harbor Dam, WA or Trojan Nuclear Power Plant, OR?","Ice Harbor Dam, WA",-118.88,"Trojan Nuclear Power Plant, OR",-122.885,YES,gt,1,wm-us-structure-long,non-ambiguous-hard-3,77295348,wm us structure long
2dc6827addd05842466a4a100f40bc76a5a21dc37d65887896aa0cc7ff767b26,"about US structures:

Is Basilica of the Sacred Hearts of Jesus and Mary (Southampton, New York), NY located east of Hershey Theatre, PA?","Which place is located more to the east: Basilica of the Sacred Hearts of Jesus and Mary (Southampton, New York), NY or Hershey Theatre, PA?","Basilica of the Sacred Hearts of Jesus and Mary (Southampton, New York), NY",-72.3983,"Hershey Theatre, PA",-76.6488,YES,gt,1,wm-us-structure-long,non-ambiguous-hard-3,77295348,wm us structure long
2ef5e00f3870e845d306ff1be64ed023249868d6ca9eb38dbf679268a6009710,"about US structures:

Is Hyco Lake, NC located east of Buckhorn Lake (Kentucky), KY?","Which place is located more to the east: Hyco Lake, NC or Buckhorn Lake (Kentucky), KY?","Hyco Lake, NC",-79.0469,"Buckhorn Lake (Kentucky), KY",-83.4708,YES,gt,1,wm-us-structure-long,non-ambiguous-hard-3,77295348,wm us structure long
2fb811c14baf54d40112fadbe726744898fe593073b363fed0a515cf7551e159,"about US structures:

Is Council Grove Lake, KS located east of Auraria Campus, CO?","Which place is located more to the east: Council Grove Lake, KS or Auraria Campus, CO?","Council Grove Lake, KS",-96.5194,"Auraria Campus, CO",-105.006,YES,gt,1,wm-us-structure-long,non-ambiguous-hard-3,77295348,wm us structure long
2ffb47976ebb07792456eb4202c16ae7c246ba76dbda4c0c8e8c5287275a8f64,"about US structures:

Is Kanuga Conference Center, NC located east of Cathedral of the Incarnation (Nashville, Tennessee), TN?","Which place is located more to the east: Kanuga Conference Center, NC or Cathedral of the Incarnation (Nashville, Tennessee), TN?","Kanuga Conference Center, NC",-82.5211,"Cathedral of the Incarnation (Nashville, Tennessee), TN",-86.7996,YES,gt,1,wm-us-structure-long,non-ambiguous-hard-3,77295348,wm us structure long
3145e50259bf09df8481662e7db40b541f2e7e3bfa6ff11ba66d6b58cbac0745,"about US structures:

Is Red Bluff Reservoir, TX located east of Sahuarita Lake, AZ?","Which place is located more to the east: Red Bluff Reservoir, TX or Sahuarita Lake, AZ?","Red Bluff Reservoir, TX",-103.931,"Sahuarita Lake, AZ",-110.968,YES,gt,1,wm-us-structure-long,non-ambiguous-hard-3,77295348,wm us structure long
33b8b0194cd6947c0d77724959a656f5454dde06b3f585905d611fc0f98abdb0,"about US structures:

Is El Vado Lake, NM located east of Lake Yosemite, CA?","Which place is located more to the east: El Vado Lake, NM or Lake Yosemite, CA?","El Vado Lake, NM",-106.748,"Lake Yosemite, CA",-120.429,YES,gt,1,wm-us-structure-long,non-ambiguous-hard-3,77295348,wm us structure long
33f3a476da96becab899f592c8f965271f8d05bc6005b91d0fec809e21dc0275,"about US structures:

Is Civic Theatre (New Orleans), LA located east of Barker Reservoir, TX?","Which place is located more to the east: Civic Theatre (New Orleans), LA or Barker Reservoir, TX?","Civic Theatre (New Orleans), LA",-90.0742,"Barker Reservoir, TX",-95.6463,YES,gt,1,wm-us-structure-long,non-ambiguous-hard-3,77295348,wm us structure long
34f865a71a481f29777bd9c508a06c17c2a52b423af1124021e3b63f807f04a4,"about US structures:

Is Fontana Lake, NC located east of Herb Parsons Lake, TN?","Which place is located more to the east: Fontana Lake, NC or Herb Parsons Lake, TN?","Fontana Lake, NC",-83.805,"Herb Parsons Lake, TN",-89.6211,YES,gt,1,wm-us-structure-long,non-ambiguous-hard-3,77295348,wm us structure long
3534ed64bf445a9065f6d253c92e5cd17ea1c8d826a8dbb42f7395dd8d47df28,"about US structures:

Is Cyclorama Building at Gettysburg, PA located east of Muskingum River Power Plant, OH?","Which place is located more to the east: Cyclorama Building at Gettysburg, PA or Muskingum River Power Plant, OH?","Cyclorama Building at Gettysburg, PA",-77.2341,"Muskingum River Power Plant, OH",-81.6825,YES,gt,1,wm-us-structure-long,non-ambiguous-hard-3,77295348,wm us structure long
3617ce0d042389b6cd8a8195ae3e4690379701cc367c1164c0a19dac791be5b0,"about US structures:

Is Waconda Lake, KS located east of Rampart Reservoir, CO?","Which place is located more to the east: Waconda Lake, KS or Rampart Reservoir, CO?","Waconda Lake, KS",-98.3728,"Rampart Reservoir, CO",-104.961,YES,gt,1,wm-us-structure-long,non-ambiguous-hard-3,77295348,wm us structure long
374a8c92dc010ec3df616a04b14eb5e55535305ad3ab056e3a63780df6b388e3,"about US structures:

Is Grenada Lake, MS located east of Wright Patman Lake, TX?","Which place is located more to the east: Grenada Lake, MS or Wright Patman Lake, TX?","Grenada Lake, MS",-89.7736,"Wright Patman Lake, TX",-94.16,YES,gt,1,wm-us-structure-long,non-ambiguous-hard-3,77295348,wm us structure long
39d8b3127c95ce74a4d48c2f0832a8847823dd221a65cda10ec8663e0b45f6b8,"about US structures:

Is Cathedral of All Souls (Asheville, North Carolina), NC located east of Nashville Municipal Auditorium, TN?","Which place is located more to the east: Cathedral of All Souls (Asheville, North Carolina), NC or Nashville Municipal Auditorium, TN?","Cathedral of All Souls (Asheville, North Carolina), NC",-82.5428,"Nashville Municipal Auditorium, TN",-86.7822,YES,gt,1,wm-us-structure-long,non-ambiguous-hard-3,77295348,wm us structure long
3ad7c772f7520bbcbddba1fb97dcde30d63d5736a87c61ae7644fc7a546a1141,"about US structures:

Is Round House (Somerville, Massachusetts), MA located east of Fermi 1, MI?","Which place is located more to the east: Round House (Somerville, Massachusetts), MA or Fermi 1, MI?","Round House (Somerville, Massachusetts), MA",-71.1076,"Fermi 1, MI",-83.2578,YES,gt,1,wm-us-structure-long,non-ambiguous-hard-3,77295348,wm us structure long
3d63f17a071eaf8d3fb58c0dee3cabff3e369393ca2d95a068d5780f181d8d32,"about US structures:

Is Milford Lake, KS located east of Fitzsimons Army Medical Center, CO?","Which place is located more to the east: Milford Lake, KS or Fitzsimons Army Medical Center, CO?","Milford Lake, KS",-96.8978,"Fitzsimons Army Medical Center, CO",-104.837,YES,gt,1,wm-us-structure-long,non-ambiguous-hard-3,77295348,wm us structure long
42189490975c400c93a85594975cb63516823d77343aa8a4212c494fe68d180a,"about US structures:

Is Heron Lake (New Mexico), NM located east of Don Pedro Reservoir, CA?","Which place is located more to the east: Heron Lake (New Mexico), NM or Don Pedro Reservoir, CA?","Heron Lake (New Mexico), NM",-106.69,"Don Pedro Reservoir, CA",-120.373,YES,gt,1,wm-us-structure-long,non-ambiguous-hard-3,77295348,wm us structure long
42e83744e87b6dce39f8b8d5b5b10572b323027613a2286b069738cb8593e67b,"about US structures:

Is Arrowrock Dam, ID located east of Lost Creek Lake, OR?","Which place is located more to the east: Arrowrock Dam, ID or Lost Creek Lake, OR?","Arrowrock Dam, ID",-115.922,"Lost Creek Lake, OR",-122.655,YES,gt,1,wm-us-structure-long,non-ambiguous-hard-3,77295348,wm us structure long
45b6c585237936ee0870fbb8da4921df1e57ee3103cc68ab999643a92dbf4551,"about US structures:

Is 120 Wall Street, NY located east of East Branch Clarion River Lake, PA?","Which place is located more to the east: 120 Wall Street, NY or East Branch Clarion River Lake, PA?","120 Wall Street, NY",-74.006,"East Branch Clarion River Lake, PA",-78.5614,YES,gt,1,wm-us-structure-long,non-ambiguous-hard-3,77295348,wm us structure long
4b585cb2fce7c10eaca071589e605731a7f1afd5379daccb411c90acea4938e7,"about US structures:

Is H. Carl Moultrie Courthouse, DC located east of Lake Springfield, IL?","Which place is located more to the east: H. Carl Moultrie Courthouse, DC or Lake Springfield, IL?","H. Carl Moultrie Courthouse, DC",-77.019,"Lake Springfield, IL",-89.6003,YES,gt,1,wm-us-structure-long,non-ambiguous-hard-3,77295348,wm us structure long
562194da1592558b287966646554a63e15c07720b2a8c781ef6455b018f347c7,"about US structures:

Is Meander Creek Reservoir, OH located east of Lake Icaria, IA?","Which place is located more to the east: Meander Creek Reservoir, OH or Lake Icaria, IA?","Meander Creek Reservoir, OH",-80.8119,"Lake Icaria, IA",-94.7264,YES,gt,1,wm-us-structure-long,non-ambiguous-hard-3,77295348,wm us structure long
5868e1cd173f1bffc4d1d7d76eb5f8367c799e7618a798637bc9512275ef4da8,"about US structures:

Is Copper Mountain Solar Facility, NV located east of Pine Flat Dam, CA?","Which place is located more to the east: Copper Mountain Solar Facility, NV or Pine Flat Dam, CA?","Copper Mountain Solar Facility, NV",-114.992,"Pine Flat Dam, CA",-119.326,YES,gt,1,wm-us-structure-long,non-ambiguous-hard-3,77295348,wm us structure long
588506822c4c7ccea5ccb1d1556be7d70b56e81c8661ac366ce93f899bcf7719,"about US structures:

Is Cathedral Basilica of St. Francis of Assisi (Santa Fe), NM located east of Orpheum Theater (Flagstaff, Arizona), AZ?","Which place is located more to the east: Cathedral Basilica of St. Francis of Assisi (Santa Fe), NM or Orpheum Theater (Flagstaff, Arizona), AZ?","Cathedral Basilica of St. Francis of Assisi (Santa Fe), NM",-105.936,"Orpheum Theater (Flagstaff, Arizona), AZ",-111.649,YES,gt,1,wm-us-structure-long,non-ambiguous-hard-3,77295348,wm us structure long
590a77540bdc57117ea939780236160ce9bc1c59a424819f5c366850ede8e296,"about US structures:

Is Astor Theatre (New York City), NY located east of Leesville Lake (Ohio), OH?","Which place is located more to the east: Astor Theatre (New York City), NY or Leesville Lake (Ohio), OH?","Astor Theatre (New York City), NY",-73.9856,"Leesville Lake (Ohio), OH",-81.1947,YES,gt,1,wm-us-structure-long,non-ambiguous-hard-3,77295348,wm us structure long
5d99e28f4cb03af10190e1869902b59b4b2c5cc096f9bcf8b7f750c7de7598e3,"about US structures:

Is Lake Mohawk (Ohio), OH located east of Old National Centre, IN?","Which place is located more to the east: Lake Mohawk (Ohio), OH or Old National Centre, IN?","Lake Mohawk (Ohio), OH",-81.1914,"Old National Centre, IN",-86.1511,YES,gt,1,wm-us-structure-long,non-ambiguous-hard-3,77295348,wm us structure long
62926c6b7071e2afeb16d04e2788fd62436ce33a811c6f32b15b42ec0a19a9c7,"about US structures:

Is Boone Lake, TN located east of Big Hill Lake, KS?","Which place is located more to the east: Boone Lake, TN or Big Hill Lake, KS?","Boone Lake, TN",-82.4383,"Big Hill Lake, KS",-95.4586,YES,gt,1,wm-us-structure-long,non-ambiguous-hard-3,77295348,wm us structure long
635b947ded1c896c3a8e401d0f7b05a148720e81ff68e3e9ce10c38a3bc626b6,"about US structures:

Is Brick Presbyterian Church (New York City), NY located east of St. Stanislaus Kostka Church (Chicago), IL?","Which place is located more to the east: Brick Presbyterian Church (New York City), NY or St. Stanislaus Kostka Church (Chicago), IL?","Brick Presbyterian Church (New York City), NY",-73.9551,"St. Stanislaus Kostka Church (Chicago), IL",-87.6624,YES,gt,1,wm-us-structure-long,non-ambiguous-hard-3,77295348,wm us structure long
642ea07dcfeb7f8a7979aa1999348df608b99768b67cb57df797e0788bba67aa,"about US structures:

Is Griffy Lake, IN located east of Hillsdale Lake, KS?","Which place is located more to the east: Griffy Lake, IN or Hillsdale Lake, KS?","Griffy Lake, IN",-86.5333,"Hillsdale Lake, KS",-94.9094,YES,gt,1,wm-us-structure-long,non-ambiguous-hard-3,77295348,wm us structure long
6c03dce6bb212abc6e07bcba31c913f34c0608abb118a07fc1795b1fcebb1f70,"about US structures:

Is Apache Lake (Arizona), AZ located east of Our Lady of the Rosary Cathedral (San Bernardino, California), CA?","Which place is located more to the east: Apache Lake (Arizona), AZ or Our Lady of the Rosary Cathedral (San Bernardino, California), CA?","Apache Lake (Arizona), AZ",-111.263,"Our Lady of the Rosary Cathedral (San Bernardino, California), CA",-117.289,YES,gt,1,wm-us-structure-long,non-ambiguous-hard-3,77295348,wm us structure long
6f9e5567c7496ac3f6f116114f91652ac6351ff762a6f6a3171aca32a5af1de7,"about US structures:

Is Tellico Reservoir, TN located east of Nimrod Lake, AR?","Which place is located more to the east: Tellico Reservoir, TN or Nimrod Lake, AR?","Tellico Reservoir, TN",-84.2597,"Nimrod Lake, AR",-93.2436,YES,gt,1,wm-us-structure-long,non-ambiguous-hard-3,77295348,wm us structure long
73368bdad4aaa2adc2510d3f284a90f92201545b145e1de03a3c22655c0114f3,"about US structures:

Is Lake Accotink, VA located east of Pleasants Power Station, WV?","Which place is located more to the east: Lake Accotink, VA or Pleasants Power Station, WV?","Lake Accotink, VA",-77.2183,"Pleasants Power Station, WV",-81.2947,YES,gt,1,wm-us-structure-long,non-ambiguous-hard-3,77295348,wm us structure long
7645d1e7f244ed116db87edcfd1614db05b064faf23b5c55e87ba9dde68475b9,"about US structures:

Is Civic Center Music Hall, OK located east of Lensic Theater, NM?","Which place is located more to the east: Civic Center Music Hall, OK or Lensic Theater, NM?","Civic Center Music Hall, OK",-97.5234,"Lensic Theater, NM",-105.941,YES,gt,1,wm-us-structure-long,non-ambiguous-hard-3,77295348,wm us structure long
780607019fd54a7e4c27018ef43d37cfe97b889b793db58790c381d6b18fe36d,"about US structures:

Is Hebgen Lake, MT located east of Aladdin Theater (Portland, Oregon), OR?","Which place is located more to the east: Hebgen Lake, MT or Aladdin Theater (Portland, Oregon), OR?","Hebgen Lake, MT",-111.234,"Aladdin Theater (Portland, Oregon), OR",-122.654,YES,gt,1,wm-us-structure-long,non-ambiguous-hard-3,77295348,wm us structure long
7806b32213b0a3e7f2af6120a3580141df877753958f5797cbc32176a2522e3e,"about US structures:

Is Lyndon Baines Johnson Department of Education Building, DC located east of Rend Lake, IL?","Which place is located more to the east: Lyndon Baines Johnson Department of Education Building, DC or Rend Lake, IL?","Lyndon Baines Johnson Department of Education Building, DC",-77.0188,"Rend Lake, IL",-88.9667,YES,gt,1,wm-us-structure-long,non-ambiguous-hard-3,77295348,wm us structure long
7a42c246403eb4c332c99c691035fab733c691bbb408e6d0fc200fc6af1d0d08,"about US structures:

Is Causey Reservoir, UT located east of Trinity Dam, CA?","Which place is located more to the east: Causey Reservoir, UT or Trinity Dam, CA?","Causey Reservoir, UT",-111.587,"Trinity Dam, CA",-122.763,YES,gt,1,wm-us-structure-long,non-ambiguous-hard-3,77295348,wm us structure long
7b98322da031910f1d3da94c83ff93ce90adf975311e5390e0c5c4ef1f075f93,"about US structures:

Is Truro Church (Fairfax, Virginia), VA located east of La Comedia Dinner Theatre, OH?","Which place is located more to the east: Truro Church (Fairfax, Virginia), VA or La Comedia Dinner Theatre, OH?","Truro Church (Fairfax, Virginia), VA",-77.3088,"La Comedia Dinner Theatre, OH",-84.2592,YES,gt,1,wm-us-structure-long,non-ambiguous-hard-3,77295348,wm us structure long
